arch;seed;val_score;test_score
const,max,relu6,1,128,const,sum,linear,1;10.0;0.782;0.8029999999999999
const,max,relu6,1,128,gcn,mlp,tanh,8;123.0;0.384;0.501
const,max,relu6,1,16,gat,max,tanh,16;42.0;0.388;0.409
const,max,relu6,1,16,generalized_linear,mlp,sigmoid,4;10.0;0.202;0.404
const,max,relu6,1,256,gat,max,sigmoid,2;19.0;0.316;0.319
const,max,relu6,1,256,generalized_linear,sum,elu,1;123.0;0.7879999999999999;0.8079999999999999
const,max,relu6,1,32,cos,sum,tanh,2;123.0;0.792;0.805
const,max,relu6,1,4,linear,sum,leaky_relu,16;79.0;0.328;0.344
const,max,relu6,1,64,const,sum,elu,16;19.0;0.78;0.7809999999999999
const,max,relu6,1,64,linear,max,tanh,4;10.0;0.342;0.379
const,max,relu6,1,8,const,mean,relu6,16;10.0;0.316;0.319
const,max,relu6,1,8,const,mlp,relu,2;10.0;0.36;0.362
const,max,relu6,1,8,gat_sym,max,linear,1;42.0;0.214;0.233
const,max,relu6,16,16,linear,mlp,relu6,16;10.0;0.18;0.198
const,max,relu6,16,256,const,mean,linear,4;79.0;0.762;0.758
const,max,relu6,16,256,generalized_linear,max,softplus,4;79.0;0.6759999999999999;0.708
const,max,relu6,16,256,linear,max,linear,1;123.0;0.73;0.752
const,max,relu6,16,32,linear,sum,softplus,2;79.0;0.8029999999999999;0.8165
const,max,relu6,16,4,gat_sym,mlp,tanh,16;10.0;0.184;0.232
const,max,relu6,16,64,cos,sum,softplus,2;79.0;0.774;0.8270000000000001
const,max,relu6,16,64,linear,sum,softplus,2;79.0;0.8089999999999999;0.827
const,max,relu6,16,64,linear,sum,softplus,6;79.0;0.774;0.809
const,max,relu6,16,8,const,max,leaky_relu,1;79.0;0.622;0.654
